Rumus Kebutuhan EXP Player (Level Up)
EXP_Needed=100×(Level^1.8)

====================================
====================================

Tabel Perolehan EXP Dungeon (Depth 1-20)

Depth	        EXP Gain	        Level Range
Depth 1	        50	                1 - 5
Depth 2	        120	                6 - 10
Depth 3	        250	                11 - 15
Depth 4	        450	                16 - 20
Depth 5	        700	                21 - 25
Depth 6	        1.050	            26 - 30
Depth 7	        1.500	            31 - 35
Depth 8	        2.100	            36 - 40
Depth 9	        2.800	            41 - 45
Depth 10	    3.700	            46 - 50
Depth 11	    4.800	            51 - 55
Depth 12	    6.100	            56 - 60
Depth 13	    7.600	            61 - 65
Depth 14	    9.400	            66 - 70
Depth 15	    11.500	            71 - 75
Depth 16	    14.000	            76 - 80
Depth 17	    17.000	            81 - 85
Depth 18	    20.500	            86 - 90
Depth 19	    24.500	            91 - 95
Depth 20	    30.000	            96 - 100

====================================
====================================

Tabel Requirement EXP (Level 1 - 100)

Level	        EXP Requirement		Level	        EXP Requirement		Level	    EXP Requirement
1	            100		            35	            60.500		        69	        201.700
2	            348		            36	            63.600		        70	        206.900
3	            722		            37	            66.800		        71	        212.100
4	            1.212		        38	            70.000		        72	        217.400
5	            1.811		        39	            73.400		        73	        222.800
6	            2.514		        40	            76.800		        74	        228.200
7	            3.315		        41	            80.200		        75	        233.700
8	            4.211		        42	            83.700		        76	        239.300
9	            5.197		        43	            87.300		        77	        244.900
10	            6.309		        44	            91.000		        78	        250.500
11	            7.458		        45	            94.700		        79	        256.300
12	            8.711		        46	            98.400		        80	        262.000
13	            10.050		        47	            102.300		        81	        267.900
14	            11.470		        48	            106.100		        82	        273.700
15	            12.970		        49	            110.100		        83	        279.700
16	            14.560		        50	            114.100		        84	        285.700
17	            16.230		        51	            118.200		        85	        291.700
18	            17.980		        52	            122.300		        86	        297.800
19	            19.800		        53	            126.500		        87	        303.900
20	            21.700		        54	            130.800		        88	        310.100
21	            23.680		        55	            135.100		        89	        316.300
22	            25.740		        56	            139.500		        90	        322.600
23	            27.880		        57	            143.900		        91	        328.900
24	            30.100		        58	            148.400		        92	        335.300
25	            32.300		        59	            152.900		        93	        341.700
26	            34.700		        60	            157.500		        94	        348.100
27	            37.100		        61	            162.200		        95	        354.700
28	            39.600		        62	            166.900		        96	        361.200
29	            42.100		        63	            171.600		        97	        367.900
30	            44.800		        64	            176.500		        98	        374.500
31	            47.700		        65	            181.300		        99	        381.200
32	            50.800		        66	            186.300		        100	        398.100
33	            53.900		        67	            191.300			
34	            57.100		        68	            196.400
